meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Championships 2009,01:04.84,27/07/2009,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,15,15,,Rome,ITA
14th FINA World Championships 2011,01:04.91,25/07/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,16,16,978,Shanghai,CHN
Russian National Championships (50m),01:04.92,19/04/2023,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"CHIKUNOVA, Evgeniia",F,17/11/2004,,,17,17,963,Kazan,RUS
18th FINA World Championships 2019,01:04.93,23/07/2019,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,18,18,963,Gwangju,KOR
Olympic Games Rio 2016,01:04.93,08/08/2016,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,18,19,973,Rio de Janeiro,BRA
11th Pan Pacific Championships 2010,01:04.93,19/08/2010,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,18,20,977,Irvine,USA
13th FINA World Championships 2009,01:04.93,28/07/2009,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,18,21,,Rome,ITA
Olympic Games Tokyo 2020,01:04.95,27/07/2021,Women 100 Breaststroke LCM Female,USA,United States of America,"JACOBY, Lydia",F,29/02/2004,,,22,22,962,Tokyo,JPN
US National Championships (50m),01:04.95,30/06/2017,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,22,23,972,Indianapolis,USA
55th International Trophy Sette Colli,01:04.98,29/06/2018,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,24,24,961,Rome,ITA
15th FINA World Championships 2013,01:05.02,30/07/2013,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,25,25,973,Barcelona,ESP
17th FINA World Championships 2017,01:05.03,25/07/2017,Women 100 Breaststroke LCM Female,USA,United States of America,"MEILI, Katie",F,16/04/1991,,,26,26,968,Budapest,HUN
17th FINA World Championships 2017,01:05.05,25/07/2017,Women 100 Breaststroke LCM Female,RUS,Russian Federation,"EFIMOVA, Yuliya",F,03/04/1992,,,27,27,968,Budapest,HUN
14th FINA World Championships 2011,01:05.05,26/07/2011,Women 100 Breaststroke LCM Female,USA,United States of America,"SONI, Rebecca",F,18/03/1987,,,27,28,972,Shanghai,CHN
17th FINA World Championships 2017,01:05.06,24/07/2017,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,29,29,967,Budapest,HUN
Olympic Games Tokyo 2020,01:05.07,26/07/2021,Women 100 Breaststroke LCM Female,RSA,South Africa,"SCHOENMAKER, Tatjana",F,09/07/1997,,,30,30,957,Tokyo,JPN
World Aquatics Championships - Fukuoka 2023,01:05.09,24/07/2023,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,31,31,956,Fukuoka,JPN
18th Commonwealth Games 2006,01:05.09,20/03/2006,Women 100 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,31,32,,Melbourne,AUS
FINA Champions Swim Series 2019,01:05.13,01/06/2019,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,33,33,954,Indianapolis,USA
Phillips 66 National Championships (50m),01:05.16,30/06/2023,Women 100 Breaststroke LCM Female,USA,United States of America,"JACOBY, Lydia",F,29/02/2004,,,34,34,953,Indianapolis,USA
Olympic Games Beijing 2008,01:05.17,12/08/2008,Women 100 Breaststroke LCM Female,AUS,Australia,"JONES, Leisel",F,30/08/1985,,,35,35,1056,Beijing,CHN
15th FINA World Championships 2013,01:05.18,29/07/2013,Women 100 Breaststroke LCM Female,USA,United States of America,"HARDY, Jessica",F,12/03/1987,,,36,36,966,Barcelona,ESP
Japan Selection Trial for 19th FINA World Championships 2022,01:05.19,02/03/2022,Women 100 Breaststroke LCM Female,JPN,Japan,"AOKI, Reona",F,24/02/1995,,,37,37,952,Tokyo,JPN
17th FINA World Championships 2017,01:05.20,24/07/2017,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,38,38,961,Budapest,HUN
US Olympic Team Trials - Swimming,01:05.20,28/06/2016,Women 100 Breaststroke LCM Female,USA,United States of America,"KING, Lilly",F,10/02/1997,,,38,39,961,Omaha,USA
Mare Nostrum - 31st Meeting International de Natation de Monte Carlo 2013,01:05.20,08/06/2013,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,38,40,965,Monaco,MON
ASA Youth MC & Open Champs 2014,01:05.21,05/08/2014,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,41,41,960,Sheffield,GBR
Mare Nostrum - Trofeu Internacional Ciutat de Barcelona 2013,01:05.21,11/06/2013,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,41,42,965,Barcelona,ESP
Olympic Games London 2012,01:05.21,29/07/2012,Women 100 Breaststroke LCM Female,LTU,Lithuania,"MEILUTYTE, Ruta",F,19/03/1997,,,41,43,965,London,GBR
