meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Championships - Fukuoka 2023,58.75,23/07/2023,Men 100 Breaststroke LCM Male,GER,Germany,"MATZERATH, Lucas",M,03/05/2000,,,125,125,907,Fukuoka,JPN
Russian National Championships (50m),58.75,17/04/2023,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,125,126,907,Kazan,RUS
Olympic Games Tokyo 2020,58.75,24/07/2021,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,125,127,907,Tokyo,JPN
European Championships 2021,58.75,18/05/2021,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,125,128,907,Budapest,HUN
Italian Winter National Championships (50m),58.75,12/12/2019,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,125,129,918,Riccione,ITA
Russian National Swimming Cup Final,58.76,26/07/2023,Men 100 Breaststroke LCM Male,CLB,Club,"SHYMANOVICH, Ilya",M,02/08/1994,,,130,130,907,kazan,RUS
Chinese National Championships (50m),58.76,02/05/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,130,131,907,Hangzhou,CHN
British National Swimming Championships (50m),58.76,14/04/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,12/11/1993,,,130,132,907,London,GBR
Swimmeet Amsterdam,58.77,03/07/2021,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,133,133,906,Amsterdam,NED
Belarus National Championships (50m),58.77,21/04/2021,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,133,134,906,Brest,BLR
Phillips 66 International Team Trials 2022,58.78,29/04/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,135,135,906,Greensboro,USA
Italian National Championships (50m),58.78,10/04/2022,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,135,136,906,Milan,ITA
Rotterdam Qualification Meet 2020,58.78,05/12/2020,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,135,137,906,Rotterdam,NED
McCullagh International 2020,58.78,20/02/2020,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,135,138,906,Bangor,IRL
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2019,58.78,11/06/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,135,139,916,Canet-en-Roussillon,FRA
Mare Nostrum - 36th Meeting International de Natation de Monte Carlo 2018,58.78,16/06/2018,Men 100 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,14/03/1992,,,135,140,918,Monaco,MON
Edinburgh International Swim Meet,58.78,03/03/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,135,141,918,Edinburgh,GBR
Chinese National Championships (50m),58.79,02/05/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,142,142,905,Hangzhou,CHN
Meeting International FFN - Golden Tour,58.79,24/03/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,142,143,916,Marseille,FRA
17th FINA World Championships 2017,58.79,24/07/2017,Men 100 Breaststroke LCM Male,USA,United States of America,"CORDES, Kevin",M,13/08/1993,,,142,144,917,Budapest,HUN
15th FINA World Championships 2013,58.79,29/07/2013,Men 100 Breaststroke LCM Male,AUS,Australia,"SPRENGER, Christian",M,19/12/1985,,,142,145,983,Barcelona,ESP
US Olympic Team Trials - Wave II,58.80,14/06/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,146,146,905,Omaha,USA
US Olympic Team Trials - Wave II,58.80,13/06/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"WILSON, Andrew",M,16/09/1993,,,146,147,905,Omaha,USA
European Championships 2021,58.80,17/05/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,12/11/1993,,,146,148,905,Budapest,HUN
19th FINA World Championships Budapest 2022,58.81,18/06/2022,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,149,149,904,Budapest,HUN
Russian National Swimming Cup Final,58.82,25/07/2023,Men 100 Breaststroke LCM Male,CLB,Club,"SHYMANOVICH, Ilya",M,02/08/1994,,,150,150,904,kazan,RUS
TYR Pro Swim Series Indianapolis 2021,58.82,13/05/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,150,151,904,Indianapolis,USA
Manchester International Swim Meet,58.82,12/02/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,150,152,904,Manchester,GBR
Japan Open (50m) 2017,58.82,19/05/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,150,153,916,Tokyo,JPN
Russian National  Championships (50m),58.83,26/10/2020,Men 100 Breaststroke LCM Male,RUS,Russian Federation,"CHUPKOV, Anton",M,22/02/1997,,,154,154,903,Kazan,RUS
FINA Champions Swim Series 2020,58.83,18/01/2020,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,154,155,903,Beijing,CHN
18th FINA World Championships 2019,58.83,21/07/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILBY, James",M,12/11/1993,,,154,156,914,Gwangju,KOR
Olympic Games London 2012,58.83,28/07/2012,Men 100 Breaststroke LCM Male,RSA,South Africa,"VAN DER BURGH, Cameron",M,25/05/1988,,,154,157,987,London,GBR
Olympic Games Tokyo 2020,58.84,26/07/2021,Men 100 Breaststroke LCM Male,USA,United States of America,"ANDREW, Michael",M,18/04/1999,,,158,158,903,Tokyo,JPN
21st Commonwealth Games 2018,58.84,07/04/2018,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,158,159,915,Gold Coast,AUS
Q!-Cup,58.85,02/04/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,160,160,902,Heidelberg,GER
Open Age Long Cours Clubs Championship,58.85,03/08/2019,Men 100 Breaststroke LCM Male,TUR,Türkiye,"SAKCI, Emre",M,15/11/1997,,,160,161,913,Istanbul,TUR
18th Asian Games 2018,58.86,22/08/2018,Men 100 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,14/03/1992,,,162,162,914,Jakarta,INA
Arena Pro Swim Indianapolis 2017,58.86,04/03/2017,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,162,163,914,Indianapolis,USA
The National Games,58.87,19/09/2021,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,164,164,901,Xian,CHN
Manchester International Swim Meet,58.87,12/02/2021,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,164,165,901,Manchester,GBR
18th FINA World Championships 2019,58.87,21/07/2019,Men 100 Breaststroke LCM Male,BLR,Belarus,"SHYMANOVICH, Ilya",M,02/08/1994,,,164,166,912,Gwangju,KOR
Olympic Games Rio 2016,58.87,07/08/2016,Men 100 Breaststroke LCM Male,USA,United States of America,"MILLER, Cody",M,09/01/1992,,,164,167,952,Rio de Janeiro,BRA
Australian National Championships (50m),58.87,01/04/2014,Men 100 Breaststroke LCM Male,AUS,Australia,"SPRENGER, Christian",M,19/12/1985,,,164,168,979,Brisbane,AUS
World Aquatics Championships - Fukuoka 2023,58.88,24/07/2023,Men 100 Breaststroke LCM Male,GER,Germany,"MATZERATH, Lucas",M,03/05/2000,,,169,169,901,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,58.88,23/07/2023,Men 100 Breaststroke LCM Male,USA,United States of America,"FINK, Nic",M,03/07/1993,,,169,170,901,Fukuoka,JPN
European Championships 2021,58.88,17/05/2021,Men 100 Breaststroke LCM Male,ITA,Italy,"MARTINENGHI, Nicolo",M,01/08/1999,,,169,171,901,Budapest,HUN
19th FINA World Championships Budapest 2022,58.89,18/06/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,172,172,901,Budapest,HUN
18th FINA World Championships 2019,58.89,21/07/2019,Men 100 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,14/03/1992,,,172,173,911,Gwangju,KOR
Rotterdam Qualification Meet 2022,58.90,04/12/2022,Men 100 Breaststroke LCM Male,NED,Netherlands,"KAMMINGA, Arno",M,22/10/1995,,,174,174,900,Rotterdam,NED
McCullagh International 2020,58.90,20/02/2020,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,174,175,900,Bangor,IRL
Japan National Championships (50m),58.90,02/04/2012,Men 100 Breaststroke LCM Male,JPN,Japan,"KITAJIMA, Kosuke",M,22/09/1982,,,174,176,983,Tokyo,JPN
18th FINA World Championships 2019,58.91,21/07/2019,Men 100 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,14/03/1992,,,177,177,910,Gwangju,KOR
Olympic Games Rio 2016,58.91,06/08/2016,Men 100 Breaststroke LCM Male,JPN,Japan,"KOSEKI, Yasuhiro",M,14/03/1992,,,177,178,950,Rio de Janeiro,BRA
Olympic Games Beijing 2008,58.91,11/08/2008,Men 100 Breaststroke LCM Male,JPN,Japan,"KITAJIMA, Kosuke",M,22/09/1982,,,177,179,1035,Beijing,CHN
31st Summer Universiade 2023,58.92,02/08/2023,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"QIN, Haiyang",M,17/05/1999,,,180,180,899,Chengdu,CHN
Russian National Swimming Cup Final,58.92,26/07/2023,Men 100 Breaststroke LCM Male,CLB,Club,"PRIGODA, Kirill",M,29/12/1995,,,180,181,899,kazan,RUS
Mare Nostrum -  Meeting International de Canet-en-Roussillon 2019,58.92,11/06/2019,Men 100 Breaststroke LCM Male,GBR,Great Britain,"PEATY, Adam",M,28/12/1994,,,180,182,910,Canet-en-Roussillon,FRA
National Chinese Championships (50m),58.92,08/04/2017,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YAN, Zibei",M,12/10/1995,,,180,183,911,Qingdae,CHN
